Album;Laby;Projekt;Z1;Z2;Z3;Z4;Z5;Z6;Kol;Suma;Ocena
262253;9;20;8;0;0;0;7;3;18;47;2
262320;30;20;8;8;0;8;8;6;38;88;5
262308;26.5;20;2;1;0;0;0;3;6;53;3
262341;27;20;8;7;5;8;5;6;39;86;5
262302;16;20;8;4;0;0;1;6;19;55;3.5
262286;28;20;6;2;5;2;8;8;31;79;4.5
244585;20.5;20;8;0;0;3;0;6;17;58;3.5
262283;27.5;20;8;3;0;0;1;3;15;63;3.5
262323;18.5;20;8;4;0;0;0;5;17;56;3.5
262294;10;20;8;4;0;3;0;3;18;48;2
262225;16.7;20;3;6;0;5;4;6;24;61;3.5
262221;10.4;20;0;0;0;0;0;3;3;33;2
262314;23.5;20;8;2;0;5;1;5;21;65;3.5
254637;9.7;20;8;4;3;3;0;5;23;53;3
262322;16.6;20;7;5;1;0;2;5;20;57;3.5
254362;21;20;2;1;0;0;3;5;11;52;3
262270;15.1;20;8;5;0;1;7;5;26;61;3.5
262279;23;20;8;4;2;0;1;5;20;63;3.5
262268;24;20;8;6;2;0;7;5;28;72;4
262290;20.1;20;7;7;1;3;0;3;21;61;3.5
262316;30;20;8;4;2;0;8;10;32;82;4.5
265719;25;20;7;0;2;1;2;5;17;62;3.5
262318;17;20;6;5;3;0;5;6;25;62;3.5
262328;20.5;20;8;5;4;3;8;6;34;75;4
262312;22;20;8;0;0;0;5;5;18;60;3.5
262282;26;20;8;6;7;6;8;4;39;85;5
262329;20;20;8;4;3;3;1;3;22;62;3.5
262321;29;20;8;5;0;0;8;8;29;78;4.5
262338;18;20;8;5;0;2;0;5;20;58;3.5
262295;29;20;8;3;1;5;4;6;27;76;4.5
255734;5;20;1;0;0;0;0;2;3;28;2
262337;30;20;8;5;6;6;8;4;37;87;5
262300;25;20;8;2;0;0;4;4;18;63;3.5
262303;26;20;8;6;1;0;8;8;31;77;4.5
255298;12;20;8;0;0;0;0;3;11;43;2
262301;17;20;6;4;0;0;2;8;20;57;3.5
262288;26;20;8;5;3;8;8;6;38;84;4.5
262297;22;20;8;0;0;0;4;5;17;59;3.5
262276;18.2;20;8;2;0;0;0;5;15;53;3
221086;25;20;8;0;2;0;7;6;23;68;4
262311;27;20;2;1;0;0;8;9;20;67;4
262296;30;20;7;5;8;8;8;10;46;96;5
262219;19;20;8;3;4;2;4;5;26;65;4
257382;20;20;8;2;3;8;0;7;28;68;4
262212;19;20;8;1;5;0;0;1;15;54;3
262267;22.5;20;2;7;0;1;0;0;10;53;3
262275;19;20;8;3;3;4;1;2;21;60;3.5
262292;22;20;7;0;0;2;0;4;13;55;3.5
262273;17.5;20;8;5;0;0;0;5;18;56;3.5
262278;24;20;8;2;0;5;3;5;23;67;4
262222;10.9;20;6;3;1;5;1;3;19;50;3
262336;18;20;0;0;1;0;3;4;8;46;2
255908;8;20;0;0;0;0;0;3;3;31;2
268951;17.3;20;8;3;2;8;8;4;33;70;4
262285;16;20;8;0;1;5;5;7;26;62;3.5
262280;23;20;8;5;6;8;6;4;37;80;4.5
262218;20.5;20;8;2;0;0;3;5;18;59;3.5
262335;30;20;6;7;7;8;7;8;43;93;5
262339;21.5;20;8;4;0;0;1;5;18;60;3.5
262307;24.5;20;7;0;0;2;5;5;19;64;3.5
255713;0;0;0;0;0;0;0;0;0;0;4
262340;11.5;20;8;3;0;7;1;0;19;51;3
262281;16.5;20;8;5;4;4;7;9;37;74;4
262229;14.5;20;8;5;0;0;0;0;13;48;2
262309;18;20;8;2;0;0;4;6;20;58;3.5
233124;18;20;8;5;3;0;1;4;21;59;3.5
262315;16;20;4;0;0;0;0;0;4;40;2
262269;22;20;8;3;0;6;8;6;31;73;4
257787;23.5;20;8;3;5;8;0;8;32;76;4.5
262304;21.8;20;8;7;0;8;8;5;36;78;4.5
262330;11.4;20;8;1;0;0;0;5;14;45;2
262317;12.2;20;8;0;0;6;4;4;22;54;3
262333;24;20;8;3;0;8;3;5;27;71;4
262226;20.5;20;8;1;0;0;0;8;23;64;3.5
262291;22.5;20;8;5;0;8;0;5;26;69;4
262227;19.5;20;6;0;0;0;0;9;15;55;3
262284;22;20;8;0;0;2;0;10;20;62;3.5
