lag,up_acf,down_acf,up_pacf,down_pacf
0,1.0,1.0,1.0,1.0
1,0.7560430067905755,0.7165688570134296,0.7560430067905755,0.7165688570134296
2,0.003749542283929419,-0.048284319846769404,0.003749542283929419,-0.048284319846769404
3,0.05691785772718272,0.006289373804852471,0.05691785772718272,0.006289373804852471
4,0.049759045191437416,-0.0019712473101007807,0.049759045191437416,-0.0019712473101007807
5,0.04967124906614173,0.00038707136852079104,0.04967124906614173,0.00038707136852079104
6,0.046847540751563686,-0.0046232783702383415,0.046847540751563686,-0.0046232783702383415
7,0.04822754016266324,-0.004332028261879331,0.04822754016266324,-0.004332028261879331
8,0.04494215022011026,-0.007544194173554622,0.04494215022011026,-0.007544194173554622
9,0.04428524464722661,-0.005833416536574344,0.04428524464722661,-0.005833416536574344
10,0.04347471791668303,-0.008424237504326047,0.04347471791668303,-0.008424237504326047
11,0.04029239106917165,-0.008786367807840435,0.04029239106917165,-0.008786367807840435
12,0.039429070907063844,-0.010962957486569117,0.039429070907063844,-0.010962957486569117
13,0.04024074691167564,-0.012873194851670393,0.04024074691167564,-0.012873194851670393
14,0.03800630285418444,-0.011437824195070393,0.03800630285418444,-0.011437824195070393
15,0.038133789398602944,-0.012821550718993753,0.038133789398602944,-0.012821550718993753
16,0.035469146520706124,-0.01275949998519928,0.035469146520706124,-0.01275949998519928
17,0.03461549063260487,-0.014083582350299152,0.03461549063260487,-0.014083582350299152
18,0.035478452576780034,-0.01464694778498364,0.035478452576780034,-0.01464694778498364
19,0.0334023786461788,-0.014926579891851085,0.0334023786461788,-0.014926579891851085
20,0.03203750126695822,-0.015972310000657273,0.03203750126695822,-0.015972310000657273
21,0.03365550713734756,-0.017493183915697513,0.03365550713734756,-0.017493183915697513
22,0.032136697501575676,-0.01824048195505473,0.032136697501575676,-0.01824048195505473
23,0.033150032001684385,-0.018701102260568946,0.033150032001684385,-0.018701102260568946
24,0.031678482528968044,-0.01960536145564249,0.031678482528968044,-0.01960536145564249
25,0.032548123265568864,-0.018706130187864437,0.032548123265568864,-0.018706130187864437
26,0.030384180518463897,-0.01918834764198912,0.030384180518463897,-0.01918834764198912
27,0.028709751555634683,-0.02170504145259612,0.028709751555634683,-0.02170504145259612
28,0.03218518051799247,-0.02019179408211818,0.03218518051799247,-0.02019179408211818
29,0.030884371087509903,-0.020247275740970294,0.030884371087509903,-0.020247275740970294
30,0.029520893822337357,-0.021892156254748642,0.029520893822337357,-0.021892156254748642
31,0.02998247277729447,-0.02128273614653153,0.02998247277729447,-0.02128273614653153
32,0.03148925308889392,-0.02296402626557977,0.03148925308889392,-0.02296402626557977
33,0.02728715196381831,-0.022024717173985416,0.02728715196381831,-0.022024717173985416
34,0.02844111447291448,-0.023047074763907813,0.02844111447291448,-0.023047074763907813
